exercise_name,equipment_id,source,confidence
Lever High Row,22cbf7fd-44b5-429f-99dd-c90cf252935a,seed,0.9
Lever High Row,462123c8-665c-4973-b92f-af706f03ca79,seed,0.9
Lever High Row,b4b7db6f-fbd9-4a84-b21f-58328c0b0d00,seed,0.9
Lever High Row,b6bc5c86-ff02-48a0-a35c-9ee42172700f,seed,0.9
Lever High Row,4cfb1e70-3807-469a-8b56-072766c52ab4,seed,0.9
Lever High Row,fde366f4-3d4a-434d-b9ea-953ac2450e3d,seed,0.9
Lever High Row,ae593cd8-56a9-4175-ac62-599358819a80,seed,0.9
Lever High Row,1a4c5c46-b772-42eb-8d8f-d3193c870411,seed,0.9
Lever High Row,6d072212-c936-5af1-8dc5-6f05a5deb1b2,seed,0.9
Lever High Row,06d73bb4-7fce-51b6-ad03-e877eb6aaaf4,seed,0.9
Lever High Row,c92e39a8-4faf-59d4-9bcb-fad9de96c2df,seed,0.9
Lever High Row,14eea95a-3c5f-5e5d-a31e-37ac32953b2a,seed,0.9
Lever Kneeling Leg Curl,7bb7197f-89dc-466a-906d-15e1b8b0906b,seed,0.9
Lever Kneeling Leg Curl,9e7a9577-1a5e-49bf-bf5c-7a990bbdb227,seed,0.9
Lever Kneeling Leg Curl,0375f89d-ad2e-42bc-a2c7-3a4482e0ffbc,seed,0.9
Lever Kneeling Leg Curl,7331485c-c1c0-4798-b157-b1cac104f378,seed,0.9
Lever Kneeling Leg Curl,1bbfc63e-e90a-4d6f-91fa-d427746c461c,seed,0.9
Lever Kneeling Leg Curl,468015e1-14ae-4df5-bf34-dc7e479dbc9f,seed,0.9
Lever Kneeling Leg Curl,5d130ddc-e1c6-45d9-af22-5378ecdc570a,seed,0.9
Lever Kneeling Leg Curl,7d60b6f1-912d-5d6b-9585-2ac56d8f4c1a,seed,0.9
Lever Kneeling Leg Curl,d12dd92d-9357-59ab-a391-9883b0bc994c,seed,0.9
Lever Lateral Raise,8382e747-afcd-470b-b41f-7a0dd3e2a834,seed,0.9
Lever Lateral Raise,69a902e8-51c5-405b-bb7c-76cbf2a05acd,seed,0.9
Lever Lateral Raise,1c1c2fc5-6230-4763-8a32-193aeba72a5f,seed,0.9
